TAG,FR,EN,DE,IT,ES
Blé de printemps,Blé de printemps,Spring Wheat,Sommerweizen,Grano primaverile,Trigo de primavera
Prairie,Prairies,Meadows,Wiesen,Prati,Prados
Aromatiques,Aromatiques,Aromatics,Aromaten,Aromi,Aromáticas
Autres fruits,Autres fruits,Other fruits,Andere Früchte,Altri frutti,Otros frutos
Autres protéagineux,Autres protéagineux,Other protein crops,Andere Eiweißpflanzen,Altre colture proteiche,Otras proteaginosas
Choux,Choux,Cabbage,Kohl,Cavoli,Coles
Cucurbitacées,Cucurbitacées,Cucurbits,Kürbisgewächse,Cucurbitacee,Cucurbitáceas
Epinard,Epinard,Spinach,Spinat,Spinaci,Espinacas
Fleurs ornementales,Fleurs ornementales,Ornamental flowers,Zierblumen,Fiori ornamentali,Flores ornamentales
Lavande,Lavande,Lavender,Lavendel,Lavanda,Lavanda
Moutarde,Moutarde,Mustard,Senf,Senape,Mostaza
Oignons et échalottes,Oignons et échalottes,Onions and shallots,Zwiebeln und Schalotten,Cipolle e scalogni,Cebollas y chalotas
Riz,Riz,Rice,Reis,Riso,Arroz
Nombre d'hectares rattachés,Nombre d'hectares rattachés,Related area,Verwandter Bereich,Area correlata,Área relacionada
Silo le plus proche,Silo le plus proche,Closest silo,Nächstes Silo,Silo più vicino,Silo más cercano
Autres,Autres,Others,Andere,Altri,Otros
Section,Section,Section,Abschnitt,Sezione,Sección
Cultures d'intérêt,Cultures d'intérêt,Crops,Kulturen,Colture,Cultivos
Cartographie assolement,Cartographie assolement,Field map,Feldkarte,Mappa del campo,Mapa del campo
Zone,Zone,Zone of,Zone von,Zona di,Zona de
Evolution année,Evolution année,Evolution since,Evolution seit,Evoluzione dal,Evolución desde
Sections,Sections,Sections,Abschnitte,Sezioni,Secciones
Caractéristiques,Caractéristiques,Characteristics,Merkmale,Caratteristiche,Características
Taille,Taille,Size,Größe,Dimensione,Tamaño
Transport,Transport,Transportation,Transport,Trasporto,Transporte
Historique des cultures,Historique des cultures,Crop history,Erntegeschichte,Storia delle colture,Historia de los cultivos
Non référencé,Non référencé,Unknown,Unbekannt,Sconosciuto,Desconocido
Administrateur,Administrateur,Admin,Verwaltung,Admin,Admin
Utilisateur,Utilisateur,User,Benutzer,Utente,Usuario
Mon compte,Mon compte,My account,Mein Konto,Il mio account,Mi cuenta
Prénom,Prénom,First name,Vorname,Nome,Nombre y apellidos
Nom de famille,Nom de famille,Last name,Nachname,Cognome,Apellidos
Nom,Nom,Name,Name,Nome,Nombre
Email,Email,Email,E-Mail,Email,Correo electrónico
Rôle,Rôle,Role,Rolle,Ruolo,Función
Rôles,Rôles,Roles,Rollen,Ruoli,Funciones
Actions,Actions,Actions,Aktionen,Azioni,Acciones
Mes collaborateurs,Mes collaborateurs,My colleagues,Meine Kollegen,I miei colleghi,Mis colegas
Edition d'un utilisateur,Edition d'un utilisateur,User edition,Benutzerausgabe,Edizione utente,Edición de usuario
possibles,possibles,possibles,Möglichkeiten,Possibili,posibles
Créer un nouvel utilisateur,Créer un nouvel utilisateur,Create new user,Neuen Benutzer anlegen,Crea nuovo utente,Crear nuevo usuario
Suppression d'un utilisateur,Suppression d'un utilisateur,User deletion,Benutzerlöschung,Cancellazione dell'utente,Eliminación de usuario
Voulez-vous vraiment supprimer,Voulez-vous vraiment supprimer,Are you sure you want to delete,"Sind Sie sicher, dass Sie löschen wollen",Sei sicuro di voler cancellare,¿Estás seguro de que quieres eliminar
Cette action est irréversible,Cette action est irréversible,You cannot undo this action,Sie können diese Aktion nicht rückgängig machen,Non è possibile annullare questa azione,No puedes deshacer esta acción
Confirmation mot de passe,Confirmation mot de passe,Password confirmation,Passwort-Bestätigung,Conferma della password,Confirmación de contraseña
Champ obligatoire,Champ obligatoire,Field required,Feld erforderlich,Campo richiesto,Campo obligatorio
Format invalide,Format invalide,Invalid format,Ungültiges Format,Formato non valido,Formato no válido
Différence entre les mots de passe,Différence entre les mots de passe,Passwords do not match,Passwörter stimmen nicht überein,Le password non corrispondono,Las contraseñas no coinciden
Changer le mot de passe,Changer le mot de passe,Change password,Passwort ändern,Cambia password,Cambiar contraseña
Mot de passe oublié ?,Mot de passe oublié ?,Forgot your password ?,Haben Sie Ihr Passwort vergessen?,Hai dimenticato la password?,¿Has olvidado tu contraseña?
Un mail de réinitialisation va vous être envoyé,Un mail de réinitialisation va vous être envoyé,A reset email will be sent to you,Eine E-Mail zum Zurücksetzen wird Ihnen zugesandt,Vi verrà inviata un'e-mail di reset,Se te enviará un correo electrónico de restablecimiento
Réinitialiser,Réinitialiser,Reset,Zurücksetzen,Reset,Restablecer
Vous n’avez pas accès à la gestion des autres utilisateurs,Vous n’avez pas accès à la gestion des autres utilisateurs,You do not have access to the user management section,Sie haben keinen Zugang zum Bereich Benutzerverwaltung,Non avete accesso alla sezione di gestione degli utenti,No tienes acceso a la sección de gestión de usuarios
Demandez à un administrateur d'augmenter vos privilèges si vous souhaitez y accéder,Demandez à un administrateur d'augmenter vos privilèges si vous souhaitez y accéder,Ask an administrator to increase your privileges if you want to access it,"Bitten Sie einen Administrator, Ihre Rechte zu erhöhen, wenn Sie darauf zugreifen möchten,",Chiedete a un amministratore di aumentare i vostri privilegi se volete accedervi,Pide a un administrador que aumente tus privilegios si quieres acceder a ella
INSEE,INSEE,INSEE,INSEE,INSEE,INSEE
Tous,Tous,All,Alle,Tutti,Todos
Filtrer par,Filtrer par,Filter by,Filtern nach,Filtrare per,Filtrar por
Département,Département,Department,Abteilung,Dipartimento,Departamento
Région,Région,Region,Region,Regione,Región
Déconnexion,Déconnexion,Logout,Abmelden,Logout,Cerrar sesión
Etes-vous certain de vouloir vous déconnecter ?,Etes-vous certain de vouloir vous déconnecter ?,Are you sure you want to logout ?,"Sind Sie sicher, dass Sie sich abmelden wollen?",Sei sicuro di voler fare il logout?,¿Estás seguro de que quieres desconectarte?
Silos,Silos,Silos,Silos,Silos,Silos
France,France,France,Frankreich,Francia,Francia
Allemagne,Allemagne,Germany,Deutschland,Alemania,Alemania
Italie,Italie,Italy,Italien,Italia,Italia
Espagne,Espagne,Spain,Spanien,España,España
Royaume-Uni,Royaume-Uni,United Kingdom,Vereinigtes Königreich,Reino Unido,Reino Unido
Suivi cultural,Suivi cultural,Crop monitoring,Überwachung der Kulturen,Monitoraggio delle colture,Seguimiento de cultivos
à,à,to,zu,a,a
j,j,d,d,d,d
Total,Total,Total,Gesamt,Totale,Total
Date début,Date début,Date of first,Datum des ersten,Data della prima,Fecha del primer
Stade phénologique,Stade phénologique,Phenologic stages,Phänologische Stadien,Stadi fenologici,Fases fenológicas
Montaison,Montaison,Bolting,Verschraubung,Imbullonatura,Brotación
Floraison,Floraison,Flowering,Blüte,Fioritura,Floración
Maturite,Maturité,Maturity,Reife,Maturità,Madurez
Senescence,Senescence,Senescence,Seneszenz,Senescenza,Senescencia
Tallage,Tallage,Tiller,Pinne,Tiller,Tallo
Mode,Mode,Mode,Modus,Modalità,Modo
probabilité,probabilité,probability,Wahrscheinlichkeit,probabilità,probabilidad
Parcelle hors zone,Parcelle hors zone,Parcel out of scope,Paket außerhalb des Geltungsbereichs,Pacco fuori portata,Parcela fuera de alcance
Rechercher une adresse,Rechercher une adresse,Find address,Adresse finden,Trova indirizzo,Encontrar dirección
Personnalisée,Personnalisée,Custom,Benutzerdefiniert,Personalizzato,Personalizar
Dessiner une nouvelle zone,Dessiner une nouvelle zone,Draw new zone,Neue Zone zeichnen,Disegna una nuova zona,Dibujar nueva zona
Sélection personnalisée,Sélection personnalisée,Custom selection,Benutzerdefinierte Auswahl,Selezione personalizzata,Selección personalizada
Modifier la zone selectionnée,Modifier la zone selectionnée,Edit selected zone,Ausgewählte Zone bearbeiten,Modifica la zona selezionata,Editar zona seleccionada
Zone personnalisée,Zone personnalisée,Custom zone,Benutzerdefinierte Zone,Zona personalizzata,Personalizar zona
Prévisionnel récolte,Prévisionnel récolte,Collect forecast,Prognose sammeln,Previsione di incasso,Recoger previsión
Culture,Culture,Crop,Ernte,Colture,Cultivo
Parts de marché (%),Parts de marché (%),Market shares (%),Marktanteile (%),Quote di mercato (%),Cuotas de mercado (%)
Hectares (k ha),Surface (k ha),Surface (k ha),Fläche (k ha),Area (k ha),Hectáreas (k ha)
Rendements (T/ha),Rendements (T/ha),Yields (T/ha),Erträge (T/ha),Rese (T/ha),Superficie (T/ha)
Date de démarrage (Semaine),Date de démarrage (Semaine),Start date (Week),Startdatum (Woche),Data di inizio (settimana),Fecha de inicio (Semana)
Durée (Semaine),Durée (Semaine),Duration (Week),Dauer (Woche),Durata (settimana),Duración (Semana)
Paramètres,Paramètres,Parameters,Parameter,Parametri,Parámetros
Télécharger CSV,Télécharger CSV,Download CSV,CSV herunterladen,Scarica CSV,Descargar CSV
Télécharger PNG,Télécharger PNG,Download PNG,PNG herunterladen,Scarica PNG,Descargar PNG
Rétablir zoom par défaut,Rétablir zoom par défaut,Reset zoom,Zoom zurücksetzen,Azzeramento dello zoom,Restablecer zoom
Rotation cultures,Rotation cultures,Crop rotation,Fruchtfolge,Rotazione delle colture,Recortar rotación
Sélectionnez une plage temporelle sur le graphique pour zommer dessus,Sélectionnez une plage temporelle sur le graphique pour zommer dessus,Select time zone on chart to zoom in,"Wählen Sie die Zeitzone auf der Karte aus, um sie zu vergrößern",Selezionare il fuso orario sul grafico per ingrandirlo,Seleccionar zona horaria en el gráfico para ampliar
Tonnes (k T),Tonnes (k T),Tons (k T),Tonnen (k T),Tonnellate (k T),Toneladas (k T)
S,S,W,W,S,S
Double cliquer afin de fermer la zone facilement,Double cliquer afin de fermer la zone facilement,Double clic (or press Enter) for closing zone easier,Doppelklick (oder Enter drücken) zum leichteren Schließen der Zone,Fare doppio clic (o premere Invio) per chiudere più facilmente la zona,Haz doble clic (o pulsa Intro) para cerrar la zona más fácilmente
Communes,Communes,Municipalities,Gemeinden,Comuni,Municipios
Mode sombre,Mode sombre,Dark mode,Dunkler Modus,Modalità scura,Modo oscuro
Localités,Localités,Localities,Orte,Località,Localidades
Parts de marché géographiques,Parts de marché géographiques,Geographical market shares,Geografische Marktanteile,Quote di mercato geografiche,Cuotas de mercado geográficas
Silo,Silo,Silo,Silo,Silo,Silo
Mes silos,Mes silos,My silos,Meine Silos,I miei silos,Mis silos
Silos concurrents,Silos concurrents,Competitor silos,Konkurrenzsilos,Silos di concorrenti,Silos de la competencia
Nombre d'hectares,Nombre d'hectares,Surface area,Fläche,Superficie,Superficie
Nombre de silos,Nombre de silos,Silos number,Silonummer,Numero di silos,Número de silos
Répartition des parts de marché,Répartition des parts de marché,Market shares distribution,Verteilung der Marktanteile,Distribuzione delle quote di mercato,Distribución de las cuotas de mercado
Hors de portée,Hors de portée,Out of reach,Unerreichbar,Fuori portata,Fuera de alcance
Les parcelles à plus de 40 km ou 60 min de transport d'un silo sont considérées comme hors de portée,Les parcelles à plus de 40 km ou 60 min de transport d'un silo sont considérées comme hors de portée,Parcels located at more than 40 km or 60 min transport time of a silo are considered out of reach,"Pakete, die mehr als 40 km oder 60 Minuten Transportzeit von einem Silo entfernt sind, gelten als unerreichbar",I pacchi situati a più di 40 km o 60 minuti di tempo di trasporto da un silo sono considerati fuori portata,Las parcelas situadas a más de 40 km o 60 min de tiempo de transporte de un silo se consideran fuera de alcance
Produit,Produit,Crop,Ernte,Colture,Cultivo
Inférieur à,Inférieur à,Less than,Weniger als,Meno di,Menos de
Entre,Entre,Between,Zwischen,Tra,Entre
Supérieur à,Supérieur à,More than,Mehr als,Più di,Más de
images,images,pictures,Bilder,immagini,fotos
dernière,dernière,last,zuletzt,ultimo,último
et,et,and,und,e,y
jours,jours,days,Tage,giorni,días
Carte Hyperplan,Carte Hyperplan,Hyperplan map type,Hyperplan-Kartentyp,Tipo di mappa Hyperplan,Tipo de mapa hiperplano
Carte satellite,Carte satellite,Satellite map type,Typ der Satellitenkarte,Tipo di mappa satellitare,Tipo de mapa satélite
Afficher,Afficher,Display,Anzeige,Display,Mostrar
Cacher,Cacher,Hide,Ausblenden,Nascondi,Ocultar
Confirmer,Confirmer,Confirm,Bestätigen,Conferma,Confirmar
Supprimer,Supprimer,Delete,Löschen,Elimina,Borrar
Voulez-vous vraiment supprimer cette zone,Voulez-vous vraiment supprimer cette zone,Are you sure you want to delete this area?,"Sind Sie sicher, dass Sie diesen Bereich löschen wollen?",È sicuro di voler cancellare quest'area?,¿Estás seguro de que quieres borrar esta zona?
Années,Années,Years,Jahre,Anni,Años
Historique des données,Historique des données,Data history,Datengeschichte,Storia dei dati,Historial de datos
Maturité,Maturité,Maturity,Reife,Maturità,Madurez
Assolement,Assolement,Crop rotation,Fruchtfolge,Rotazione delle colture,Rotación de cultivos
Rotations,Rotations,Rotations,Rotationen,Rotazioni,Rotaciones
Evolution,Evolution,Evolution,Entwicklung,Evoluzione,Evolución
Recolte,Recolte,Harvest,Ernte,Raccolta,Cosecha
NDVI,NDVI,NDVI,NDVI,NDVI,NDVI
Températures cumulées (°C),Températures cumulées (°C),Accumulated temperatures (°C),Kumulierte Temperaturen (°C),Temperature accumulate (°C),Temperaturas acumuladas (°C)
Précipitations cumulées (mm),Précipitations cumulées (mm),Accumalated rainfall (mm),Kumulierte Niederschlagsmenge (mm),Precipitazioni accumulate (mm),Precipitaciones acumuladas (mm)
Produits,Produits,Products,Produkte,Prodotti,Productos
Auj.,Auj.,Today,Heute,Oggi,Hoy
Satellite,Satellite,Satellite,Satellit,Satellite,Satélite
Début du cumul,Début du cumul,Reference week,Referenzwoche,Settimana di riferimento,Semana de referencia
Votre sélection comporte,Votre sélection comporte,Your selection has,Ihre Auswahl hat,La vostra selezione ha,Tu selección tiene
Sauvegarder votre sélection multiple,Sauvegarder votre sélection multiple,Save your multiple selection,Speichern Sie Ihre Mehrfachauswahl,Salva la tua selezione multipla,Guarda tu selección múltiple
Veuillez nommer cette nouvelle zone personalisée avant de la créer,Veuillez nommer cette nouvelle zone personalisée avant de la créer,Please name your new custom zoning before to create it,"Bitte benennen Sie Ihre neue benutzerdefinierte Zone, bevor Sie sie erstellen",Si prega di dare un nome alla nuova zonizzazione personalizzata prima di crearla,"Por favor, asigna un nombre a tu nueva zonificación personalizada antes de crearla"
"Pour enregistrer votre sélection comme zone personnalisée, cliquez sur le bouton sauvegarder","Pour enregistrer votre sélection comme zone personnalisée, cliquez sur le bouton sauvegarder","To save your selection as custom zoning, click on save button",Speichern,"Per salvare la selezione come zonizzazione personalizzata, fare clic sul pulsante Salva","Para guardar tu selección como zonificación personalizada, haz clic en el botón Guardar"
zones,zones,zones,Zonen,zone,zonas
Maintenez la touche,Maintenez la touche,Hold,Halten,Hold,Mantén pulsado
afin d'effectuer une sélection multiple,afin d'effectuer une sélection multiple,to make a multiple selection,eine Mehrfachauswahl treffen,per effettuare una selezione multipla,para hacer una selección múltiple
Type de données,Type de données,Data type,Datentyp,Tipo di dati,Tipo de datos
Recherche de parcelles,Recherche de parcelles,Parcel search,Paketsuche,Ricerca pacchi,Búsqueda de parcelas
Périmètre géographique,Périmètre géographique,Geographical boundaries,Geografische Grenzen,Confini geografici,Límites geográficos
Statut des cultures,Statut des cultures,Crop status,Status der Ernte,Stato delle colture,Estado del cultivo
Récolte,Récolte,Crop,Ernte,Colture,Cultivo
Après le,Après le,After,Nach,Dopo,Después de
Avant le,Avant le,Before,Vorher,Prima,Antes
Résultats,Résultats,Results,Ergebnisse,Risultati,Resultados
parcelles,parcelles,parcels,Pakete,parcelle,parcelas
hectares,hectares,hectares,Hektar,ettari,hectáreas
Générer une nouvelle carte,Générer une nouvelle carte,Generate new map,Neue Karte generieren,Genera nuova mappa,Generar nuevo mapa
Statut,Statut,Status,Status,Stato,Estado
Surface,Surface,Area,Gebiet,Area,Superficie
Surface minimum,Surface minimum,Minimum area,Mindestfläche,Area minima,Superficie mínima
Surface maximum,Surface maximum,Maximum area,Maximale Fläche,Area massima,Superficie máxima
Reste à,Reste à,Remaining to,Bleibt bis,Restante a,Restante hasta
%,%,%,%,%,%
Scénario prévisionnel récolte,Scénario prévisionnel récolte,Harvest forecast scenario,Erntevorhersage,Scenario di previsione del raccolto,Escenario de previsión de cosecha
Tableau prévisionnel récolte,Tableau prévisionnel récolte,Harvest forecast table,Erntevorhersage,Tabella di previsione del raccolto,Tabla de previsión de cosecha
Quantité (T),Quantité (T),Quantity (T),Menge (T),Quantità (T),Cantidad (T)
Rendement (T/ha),Rendement (T/ha),Yield (T/ha),Ertrag (T/ha),Resa (T/ha),Rendimiento (T/ha)
Hectares (k ha),Hectares (k ha),Hectares (k ha),Hektar (k ha),Ettari (k ha),Hectáreas (k ha)
Relative,Relative,Relative,Relativ,Relativo,Relativo
Absolue,Absolue,Absolute,Absolut,Assoluto,Absoluta
Donnée,Donnée,Data,Daten,Dati,Datos
Moyenne,Moyenne,Average,Durchschnitt,Media,Media
Date de fin,Date de fin,End date,Enddatum,Data di fine,Fecha final
Date de début,Date de début,Start date,Startdatum,Data di inizio,Fecha de inicio
Cumul de températures,Cumul de températures,Accumulated temperatures,Kumulierte Temperaturen,Temperature accumulate,Temperaturas acumuladas
Cumul de précipitations,Cumul de précipitations,Accumulated rainfall,Kumulierte Niederschläge,Piogge accumulate,Precipitaciones acumuladas
Profil,Profil,Profile,Profil,Profilo,Perfil
Comparaison,Comparaison,Comparison,Vergleich,Confronto,Comparación
Histogramme,Histogramme,Bar chart,Balkendiagramm,Grafico a barre,Gráfico de barras
Aires empilées,Aires empilées,Stacked area chart,Gestapeltes Flächendiagramm,Grafico ad area impilata,Gráfico de áreas apiladas
Courbe,Courbe,Line chart,Liniendiagramm,Grafico a linee,Gráfico de líneas
Cumul,Cumul,Accumulation,Kumulierung,Accumulazione,Acumulación
Méthode de calcul : température moyenne - 6°C,Méthode de calcul : température moyenne - 6°C,Calculation method : average temperature - 6°C,Berechnungsmethode: Durchschnittstemperatur - 6°C,Metodo di calcolo: temperatura media - 6°C,Método de cálculo : temperatura media - 6°C
Valeurs minimales 0°C et valeurs maximales 30°C,Valeurs minimales 0°C et valeurs maximales 30°C,Minimum value 0°C and maximum value 30°C,Mindestwert 0°C und Höchstwert 30°C,Valore minimo 0°C e valore massimo 30°C,Valor mínimo 0°C y valor máximo 30°C
Année d'étude,Année d'étude,Focus year,Schwerpunktjahr,Anno di fuoco,Año de referencia
Année de référence,Année de référence,Reference year,Bezugsjahr,Anno di riferimento,Año de referencia
Indice de végétation normalisé (maximum NDVI),Indice de végétation normalisé (maximum NDVI),Maximum NDVI,Maximaler NDVI,NDVI massimo,NDVI máximo
Maximum NDVI,Maximum NDVI,Maximum NDVI,Maximaler NDVI,NDVI massimo,NDVI máximo
Pourcentage,Pourcentage,Percentage,Prozentsatz,Percentuale,Porcentaje
Hectares,Hectares,Hectares,Hektar,Ettari,Hectáreas
Ecart de maturité,Ecart de maturité,Maturity gap,Reifungslücke,Divario di maturità,Brecha de madurez
Utilisateur modifié avec succès,Utilisateur modifié avec succès,User successfully modified,Benutzer erfolgreich geändert,Utente modificato con successo,Usuario modificado correctamente
Utilisateur créé avec succès,Utilisateur créé avec succès,User successfully created,Benutzer erfolgreich erstellt,Utente creato con successo,Usuario creado correctamente
Utilisateur supprimé avec succès,Utilisateur supprimé avec succès,User successfully deleted,Benutzer erfolgreich gelöscht,Utente cancellato con successo,Usuario eliminado con éxito
Zone créée avec succès,Zone créée avec succès,Zone successfully created,Zone erfolgreich erstellt,Zona creata con successo,Zona creada con éxito
Zone modifiée avec succès,Zone modifiée avec succès,Zone successfully modified,Zone erfolgreich modifiziert,Zona modificata con successo,Zona modificada con éxito
Zone supprimée avec succès,Zone supprimée avec succès,Zone successfully deleted,Zone erfolgreich gelöscht,Zona eliminata con successo,Zona eliminada correctamente
Préférences modifiées avec succès,Préférences modifiées avec succès,Preferences successfully modified,Vorlieben erfolgreich geändert,Preferenze modificate con successo,Preferencias modificadas correctamente
Un nouveau mot de passe vous a été envoyé par email,Un nouveau mot de passe vous a été envoyé par email,A new password has been sent by email,Ein neues Passwort wurde per E-Mail verschickt,Una nuova password è stata inviata via e-mail,Se ha enviado una nueva contraseña por correo electrónico
Profil modifié avec succès,Profil modifié avec succès,Profile successfully modified,Profil erfolgreich modifiziert,Profilo modificato con successo,Perfil modificado correctamente
Données modifiées avec succès,Données modifiées avec succès,Data successfully modified,Daten erfolgreich geändert,Dati modificati con successo,Datos modificados correctamente
Données réinitialisées avec succès,Données réinitialisées avec succès,Data successfully reset,Daten erfolgreich zurückgesetzt,Dati azzerati con successo,Datos restablecidos correctamente
Masquer,Masquer,Hide,Ausblenden,Nascondi,Ocultar
Répartition,Répartition,Distribution,Verteilung,Distribuzione,Distribución
Identifiant parcelle,Identifiant parcelle,Parcel ID,Parzellen-ID,ID parcella,ID de parcela
Probabilités de rotation calculées sur la base des données des 3 années précédentes,Probabilités de rotation calculées sur la base des données des 3 années précédentes,Crop rotation probabilities based on the past three years,Fruchtfolge-Wahrscheinlichkeiten auf der Grundlage der letzten drei Jahre,Probabilità di rotazione delle colture basate sugli ultimi tre anni,Probabilidades de rotación de cultivos basadas en los últimos tres años
Indicateurs,Indicateurs,Indicators,Indikatoren,Indicatori,Indicadores
Météorologie,Météorologie,Meteorology,Meteorologie,Meteorologia,Meteorología
Dernières images satellite,Dernières images satellite,Last satellite images,Letzte Satellitenbilder,Ultime immagini satellitari,Últimas imágenes de satélite
Dates des stades phénologiques,Dates des stades phénologiques,Phenologic stages dates,Daten der phänologischen Stadien,Date delle fasi fenologiche,Fechas de las fases fenológicas
Données météo,Données météo,Weather data,Wetterdaten,Dati meteo,Datos meteorológicos
Grêle,Grêle,Hail,Ave,Grandine,Granizo
Vents forts,Vents forts,Strong winds,Starke Winde,Venti forti,Vientos fuertes
Orage,Orage,Thunderstorm,Gewitter,Temporale,Tormenta eléctrica
Episodes de stress,Episodes de stress,Stress incidents,Stressbedingte Vorfälle,Incidenti di stress,Incidentes de estrés
de gel,de gel,of frost,von Frost,di gelo,de heladas
d'ensoleillement,d'ensoleillement,of sunshine,von Sonnenschein,di sole,de insolación
de températures cumulées,de températures cumulées,of accumulated temperatures,der akkumulierten Temperaturen,di temperature accumulate,de temperaturas acumuladas
de précipitations cumulées,de précipitations cumulées,of accumulated rainfall,der akkumulierten Niederschläge,di precipitazioni accumulate,de precipitaciones acumuladas
Températures cumulées,Températures cumulées,Températures cumulées,Kumulierte Températuren,Températures cumulées,Températures cumulées
Précipitations cumulées,Précipitations cumulées,Précipitations cumulées,Kumulierte Niederschläge,Precipitazioni cumulate,Precipitaciones acumuladas
RVI,RVI,RVI,RVI,RVI,RVI
°C,°C,°C,°C,°C,°C
mm,mm,mm,mm,mm,mm
au,au," to "," zu "," a "," a "
Modification des données,Modification des données,Data edition,Datenausgabe,Edizione dati,Edición de datos
Détails de la parcelle,Détails de la parcelle,Parcel details,Paketdetails,Dettagli pacco,Detalles del paquete
Statistiques d'utilisation,Statistiques d'utilisation,Data analytics,Datenanalytik,Analisi dei dati,Análisis de datos
Utilisateurs,Utilisateurs,Users,Benutzer,Utenti,Usuarios
Nombre de connexions par semaine,Nombre de connexions par semaine,Connections per week,Verbindungen pro Woche,Connessioni settimanali,Conexiones por semana
Nombre de connexions par utilisateur,Nombre de connexions par utilisateur,Connections per user,Verbindungen pro Benutzer,Connessioni per utente,Conexiones por usuario
Répartition des visites par page,Répartition des visites par page,Visits distribution per page,Verteilung der Besuche pro Seite,Distribuzione delle visite per pagina,Distribución de visitas por página
Nombre de pages consultées par visite,Nombre de pages consultées par visite,Average pages number per visit,Durchschnittliche Seitenzahl pro Besuch,Numero medio di pagine per visita,Número medio de páginas por visita
Nombre d'utilisateurs par jour,Nombre d'utilisateurs par jour,Average user number per day,Durchschnittliche Nutzerzahl pro Tag,Numero medio di utenti al giorno,Número medio de usuarios por día
Fréquence de connexion par utilisateur,Fréquence de connexion par utilisateur,User connection frequency,Häufigkeit der Benutzerverbindungen,Frequenza di connessione dell'utente,Frecuencia de conexiones por usuario
/ semaine,/ semaine,/ week,/ Woche,/ settimana,/ por semana
Durée moyenne d'une session,Durée moyenne d'une session,Average session duration,Durchschnittliche Sitzungsdauer,Durata media della sessione,Duración media de la sesión
min,min,min,min,min,min
Focus produit,Focus produit,Product focus,Produktschwerpunkt,Focus sul prodotto,Enfoque del producto
Tous produits confondus,Tous produits confondus,All products,Alle Produkte,Tutti i prodotti,Todos los productos
Informations à la parcelle,Informations à la parcelle,Parcel info,Paketinformationen,Info pacco,Información del paquete
Super administrateur,Super administrateur,Super administrator,Superadministrator,Super amministratore,Superadministrador
Organisation,Organisation,Organisation,Organisation,Organizzazione,Organización
Parcelle,Parcelle,Parcel,Parzelle,Parcella,Paquete
Exporter en CSV,Exporter en CSV,Export to CSV,In CSV exportieren,Esportazione in CSV,Exportar a CSV
Rechercher,Rechercher,Search,Suche,Ricerca,Buscar en
Secteurs,Secteurs,Sector,Sektor,Settore,Sector
Région Corteva,Région Corteva,Corteva region,Corteva-Region,Regione Corteva,Región Corteva
Zone pull,Zone pull,Pull zone,Zugzone,Zona di tiro,Zona de tiro
