TAG,FR,EN,DE,IT,ES,TR
"Data history","Historique des données","Data history","Datengeschichte","Storia dei dati","Historial de datos","Veri geçmişi"
"User management","Gestion des utilisateurs","User management","Datentyp","Gestione degli utenti","Gestión de usuarios","Kullanıcı yönetimi"
"Territories management","Gestion des territoires","Territories management","Verwaltung von Gebieten","Gestione del territorio","Gestión del territorio","Bölge yönetimi"
"Logout","Déconnexion","Logout","Abmelden","Disconnessione","Cerrar sesión","Çıkış"
"Select all","Tout sélectionner","Select all","Alle auswählen","Seleziona tutto","Seleccionar todo","Tümünü seç"
"Unselect all","Désélectionner tout","Unselect all","Alle abwählen","Deseleziona tutti","Deseleccionar todo","Tümünün seçimini kaldır"
"Cancel","annuler","Cancel","abbrechen","annullare","cancelar","İptal et"
"Save","Sauvegarder","Save","Speichern","Salva","Guardar","Kaydet"
"User preferences","Préférences utilisateur","User preferences","Benutzereinstellungen","Preferenze dell'utente","Preferencias del usuario","Kullanıcı ayarları"
"Crops of interest","Cultures d'intérêt","Crops of interest","Pflanzen von Interesse","Colture di interesse","Cultivos de interés","İlgilendiğiniz mahsuller"
"Please select crops you want to see across the app.","Choisissez les cultures que vous souhaitez voir à travers l'application.","Please select crops you want to see across the app.","Bitte wählen Sie die Kulturen aus","Selezionare le colture che si desidera visualizzare in tutta l'applicazione.","Seleccione los cultivos que desea ver en la aplicación.","Lütfen mahsulleri seçin"
"You can select all crops or up to five.","Vous pouvez sélectionner toutes les cultures, ou bien en choisir jusqu'à 5 maximum.","You can select all crops or up to five.","Sie können alle Kulturen oder bis zu fünf auswählen.","È possibile selezionare tutte le colture o solo cinque.","Puede seleccionar todos los cultivos o hasta cinco.","Tüm mahsulleri veya en fazla beş mahsulü seçebilirsiniz."
"Parcel ID","Identifiant parcel","Parcel ID","Parzellen-ID","ID parcella","ID de parcela","Parsel Kimliği"
"Latitude;Longitude","Latitude ; Longitude","Latitude;Longitude","Breitengrad;Längengrad","Latitudine; Longitudine","Latitud;Longitud","Enlem;Boylam"
"Views","Vues","Views","Ansichten","Visualizzazioni","Vistas","Görünümler"
"Filter","Filtrer","Filter","Filtern","Filtro","Filtrar","Filtre"
"My profile","Mon profil","My profile","Mein Profil","Il mio profilo","Mi perfil","Profilim"
"Additional information","Informations supplémentaires","Additional information","Zusätzliche Daten","Informazioni aggiuntive","Información adicional","Ek veriler"
"My parcels","Mes parcelles","My fields","Meine Parzellen","Le mie parcelle","Mis parcelas","Parsellerim"
"Cultural failure risk","Risque d'échec culture","Cultural failure risk","Kulturelles Ausfallrisiko","Rischio di fallimento culturale","Riesgo de fallo cultural","Ürün hatası riski"
"This field is required","Ce champ est obligatoire.","This field is required","Dieses Feld ist erforderlich","Questo campo è obbligatorio","Este campo es obligatorio","Bu alan gereklidir"
"Crops","Cultures d'intérêt","Crops","Kulturen","Colture","Cultivos","Ürünler"
"Parcel characteristics","Caractéristique parcelle","Field characteristics","Merkmal Parzelle","Trama caratteristica","Característica de parcela","Parsel özelliği"
"All crops","Toutes les cultures","All crops","Alle Feldfrüchte","Tutte le colture","Todos los cultivos","Tüm ürünler"
"Select characteristics you want to see for parcels.","Choisissez les caractéristiques que vous souhaitez voir à l'échelle de la parcelle.","Select characteristics you want to see for fields.","Wählen Sie die Merkmale aus","Selezionare le caratteristiche che si desidera visualizzare per le parcelle.","Seleccione las características que desea ver para las parcelas.","Özellikleri seçin"
"All characteristics","Toutes les caractéristiques","All characteristics","Alle Merkmale","Tutte le caratteristiche","Todas las características","Tüm özellikler"
"Surface","Surface","Surface","Oberfläche","Superficie","Superficie","Yüzey"
"All","Tous","All","Alle","Tutti","Todos","Tümü"
"Favorite filters","Mes filtres favoris","Favorite filters","Bevorzugte Filter","Filtri preferiti","Filtros favoritos","Tercih edilen filtreler"
"I want to filter on parcels located in my territory","Je veux filtrer sur les parcelles de mon territoire","I want to filter on fields located in my territory","Ich möchte nach Flurstücken filtern","Voglio filtrare le parcelle situate nel mio territorio","Quiero filtrar las parcelas situadas en mi territorio","Parsele göre filtrelemek istiyorum"
"Some criterias are incorrect","Certains critères sont incorrects","Some criterias are incorrect","Einige Kriterien sind inkorrekt","Alcuni criteri non sono corretti","Algunos criterios son incorrectos","Bazı kriterler yanlış"
"Caracteristic","Caractéristique","Caracteristic","Merkmal","Caratteristica","Característica","Karakteristik"
"whose","dont le","whose","dessen","il cui","cuyo","kimin"
"or","ou","or","oder","o","o","veya"
"and","et","and","und","e","y","ve"
"equal to","égal à ","equal to","gleich","uguale a","igual a","eşit"
"greater than","supérieur à ","greater than","größer als","maggiore di","mayor que","daha büyük"
"lower than","inférieur à","lower than","niedriger als","inferiore a","menor que","daha düşük"
"after","Après le","after","Nach","Dopo","Después de","sonra"
"before","Avant le","before","Vorher","Prima","Antes","önce"
"in","en","in","in","in","en","içinde"
"Value is not in accepted range","La valeur n'est pas dans la fourchette acceptée","Value is not in accepted range","Wert liegt nicht im akzeptierten Bereich","Il valore non rientra nell'intervallo accettato","El valor no está en el rango aceptado","Değer kabul edilen aralıkta değil"
"zone","zone | zones","zone | zones","Zone | Zonen","zona | zone","zona | zonas","bölge | bölgeler"
"Zone","Zone","Zone","Zone","Zona","Zona","Bölge"
"Please enter a valid email","Merci de rentrer un email valide","Please enter a valid email","Bitte geben Sie eine gültige E-Mail ein","Inserire un'e-mail valida","Por favor","Lütfen geçerli bir e-posta girin"
"Each item must be a valid email","Tous les emails doivent être valides","Each item must be a valid email","Jedes Element muss eine gültige E-Mail sein","Ogni elemento deve essere un'e-mail valida","Cada elemento debe ser un email válido","Her öğe geçerli bir e-posta olmalıdır"
"Values do not match","Les valeurs ne correspondent pas","Values do not match","Die Werte stimmen nicht überein","I valori non corrispondono","Los valores no coinciden","Değerler eşleşmiyor"
"Passwords do not match","Les mots de passe ne correspondent pas","Passwords do not match","Passwörter stimmen nicht überein","Le password non corrispondono","Las contraseñas no coinciden","Şifreler eşleşmiyor"
"Email does not match","Les emails ne correspondent pas","Email does not match","E-Mail stimmt nicht überein","L'e-mail non corrisponde","El correo electrónico no coincide","E-posta eşleşmiyor"
"ha","ha","ha","ha","ha","ha","ha"
"t/ha","t/ha","t/ha","t/ha","t/ha","t/ha","t/ha"
"t","t","t","t","t","t","t"
"Soil texture","Texture du sol","Soil texture","Bodenbeschaffenheit","Struttura del suolo","Textura del suelo","Toprak dokusu"
"I3P","I3P","I3P","I3P","I3P","I3P","I3P"
"Irrigation","Irrigation","Irrigation","Bewässerung","Irrigazione","Riego","Sulama"
"Water stress","Stress hydrique","Water stress","Wasserstress","Stress idrico","Estrés hídrico","Su stresi"
"Accumulated temperature","Températures cumulées","Accumulated temperature","Kumulierte Temperaturen","Temperature accumulate","Temperaturas acumuladas","Birikmiş sıcaklık"
"Week cumulated rainfall","Précipitations cumulées hebdomadaires","Week cumulated rainfall","Kumulierte Niederschlagsmenge pro Woche","Settimana di precipitazioni cumulate","Semana de precipitaciones acumuladas","Haftalık birikmiş yağış"
"NDVI","NDVI","NDVI","NDVI","NDVI","NDVI","NDVI"
"Area","Surface","Area","Fläsche","Area","Superficie","Alan"
"Municipality","Commune","Municipality","Gemeinde","Comune","Municipio","Belediye"
"and whose","et dont","and whose","und dessen","e il cui","y cuyo","ve kimin"
"is","est","is","ist","è","es","olduğu"
"Value","Valeur","Value","Wert","Valore","Valor","Değer"
"Sections","Sections","Sections","Abschnitte","Sezioni","Secciones","Bölümler"
"View","Vue","View","Ansicht","Vista","Ver","Görünüm"
"Split","Répartition","Split","Aufgeteilt","Dividere","Dividir","Böl"
"Today","Auj.","Today","Heute","Oggi","Hoy","Bugün"
"Crop","Culture","Crop","Ernte","Colture","Cultivo","Mahsul"
"crop","culture","crop","ernte","colture","cultivo","mahsul"
"Last name","Nom de famille","Last name","Nachname","Cognome","Apellidos","Soyadı"
"First name","Prénom","First name","Vorname","Nome","Nombre y apellidos","Adı"
"Email","Email","Email","E-Mail","Email","Correo electrónico","E-posta"
"Role","Rôle","Role","Rolle","Ruolo","Función","Rol"
"Accessible territories","Territoires accessibles","Accessible territories","Erreichbare Territorien","Territori accessibili","Territorios accesibles","Erişilebilir bölgeler"
"Actions","Actions","Actions","Aktionen","Azioni","Acciones","Eylemler"
"My colleagues","Mes collaborateurs","My colleagues","Meine Kollegen","I miei colleghi","Mis colegas","Meslektaşlarım"
"possibles","possibles","possibles","Möglichkeiten","Possibili","posibles","olasılıklar"
"All accessible territory","Ensemble du territoire accessible","All accessible territory","Hinzuf√ºgen einer Spalte","Tutto il territorio accessibile","Todo el territorio accesible","Tüm erişilebilir bölgeler"
"User","Utilisateur","User","Benutzer","Utente","Usuario","Kullanıcı"
"Admin","Administrateur","Admin","Verwaltung","Admin","Admin","Yönetici"
"SuperAdmin","SuperAdmin","SuperAdmin","SuperAdmin","SuperAdmin","SuperAdmin","SuperAdmin"
"No limitation","Pas de limitation","No limitation","Merkmal Parzelle","Nessuna limitazione","Sin limitación","Sınırlama yok"
"Resend invitation","Renvoyer l'invitation","Resend invitation","Einladung erneut senden","Invia nuovamente l'invito","Reenviar invitación","Daveti yeniden gönder"
"Pending...","En attente...","Pending...","In der Warteschleife...","In attesa...","Esperando...","Beklemede..."
"Created from CRM","Créé à partir du CRM","Created from CRM","Aus CRM erstellt","Creato dal CRM","Creado desde CRM","CRM'den oluşturuldu"
"Email sent","Invitation envoyée","Email sent","E-Mail gesendet","Email inviata","Email enviado","E-posta gönderildi"
"Invite to join","Inviter un collaborateur","Invite to join","Zum Beitritt einladen","Invito a partecipare","Invitar a unirse","Katılmaya davet et"
"Non-existent account","Compte inexistant","Non-existent account","Nicht vorhandenes Konto","Account inesistente","Cuenta inexistente","Mevcut olmayan hesap"
"Welcome!","Bienvenue !","Welcome!","Willkommen!","Benvenuti!","¡Bienvenido!","Hoş geldiniz!"
"Please enter your credentials","Merci de saisir vos identifiants","Please enter your credentials","Bitte geben Sie Ihre Anmeldedaten ein","Inserire le proprie credenziali","Por favor, introduce tus credenciales","Lütfen kimlik bilgilerinizi girin"
"Forgot your password ?","Mot de passe oublié ?","Forgot your password ?","Haben Sie Ihr Passwort vergessen?","Hai dimenticato la password?","¿Has olvidado tu contraseña?","Şifrenizi mi unuttunuz ?"
"A question ? Send us an email at","Une question ? Envoyez nous un mail à","A question ? Send us an email at","Eine Frage? Schicken Sie uns eine E-Mail an","Una domanda? Inviateci un'e-mail a","¿ Alguna pregunta? Envíenos un correo electrónico a","Bir sorunuz mu var? Bize bir e-posta gönderin"
"Password","Mot de passe","Password","Kennwort","Password","Contraseña","Şifre"
"Log in","Se connecter","Log in","Anmelden","Log in","Conectarse","Giriş yap"
"Do you need more information at parcel level ?","Vous souhaitez voir d'autres informations au niveau de la parcelle ?","Do you need more information at field level ?","Benötigen Sie weitere Informationen auf Paketebene?","Hai bisogno di ulteriori informazioni a livello di parcella?","¿Necesita más información a nivel de parcela?","Alan düzeyinde daha fazla bilgiye mi ihtiyacınız var?"
"Please fill","Merci de remplir","Please fill","Bitte füllen Sie","Compilare","Rellene","Lütfen bize bildirmek için"
"this form","ce formulaire","this form","dieses Formular","questo modulo","este formulario","bu formu"
"to let us know","","to let us know","um es uns mitzuteilen","per comunicarcelo","para comunicárnoslo","doldurun"
"Management","Gestion","Management","Verwaltung","Gestione","Gestión","Yönetim"
"Overview","Vue d'ensemble","Overview","Übersicht","Vista complessiva","Vista general","Genel Bakış"
"Zone group","Sectorisation","Zone group","Zone gruppieren","Gruppo di zone","Grupo de zonas","Bölge grubu"
"Create a new zone","Créer une nouvelle zone","Create a new zone","Neue Zone erstellen","Creare una nuova zona","Crear nueva zona","Yeni bir bölge oluşturun"
"Export to CSV","Exporter en CSV","Export to CSV","In CSV exportieren","Esportazione in CSV","Exportar a CSV","CSV'ye aktarın"
"Edit","Modifier","Edit","Bearbeiten","Modifica","Editar","Düzenleyin"
"Delete","Supprimer","Delete","Löschen","Elimina","Borrar","Silin"
"You are the only one that can access this zone group","Vous êtes le seul à pouvoir voir cette sectorisation","You are the only one that can access this zone group","Sie sind der Einzige","Solo voi potete accedere a questo gruppo di zone","Usted es el único que puede acceder a este grupo de zonas","Bu bölge grubuna erişebilen tek kişi sizsiniz"
"Zone group creation","Création d'une sectorisation","Zone group creation","Erstellen einer Zonengruppe","Creazione del gruppo di zone","Creación de un grupo de zonas","Bölge grubu oluşturma"
"Delete zone group","Supprimer une sectorisation","Delete zone group","Zonengruppe löschen","Elimina gruppo di zone","Eliminar grupo de zonas","Bölge grubunu silme"
"Are you sure you want to delete this zone group and all its zones ?","Etes vous sur de vouloir supprimer cette sectorisation et toutes les zones qui la composent ?","Are you sure you want to delete this zone group and all its zones ?","Sind Sie sicher","Siete sicuri di voler eliminare questo gruppo di zone e tutte le sue zone?","¿Está seguro de que desea eliminar este grupo de zonas y todas sus zonas?","Bu bölge grubunu ve tüm bölgelerini silmek istediğinizden emin misiniz?"
"This action is irreversible","Cette action est irréversible","This action is irreversible","Dieser Vorgang ist nicht umkehrbar.","Questa azione è irreversibile","Esta acción es irreversible","Bu eylem geri alınamaz"
"Please type the exact zoning name to proceed","Merci de saisir le nom exact de la sectorisation pour confirmer","Please type the exact zoning name to proceed","Bitte geben Sie den genauen Zonennamen ein","Digitare il nome esatto della zona per procedere","Por favor","Devam etmek için lütfen tam bölge adını yazın"
"Name","Nom","Name","Name","Nome","Nombre","Ad"
"Zone group name","Nom de la sectorisation","Zone group name","Name der Zonengruppe","Nome del gruppo di zone","Nombre del grupo de zonas","Bölge grubu adı"
"Zone composition","Composition de la zone","Zone composition","Zusammensetzung der Zone","Composizione della zona","Composición de la zona","Bölge bileşimi"
"Zone group rules","Paramètres de la sectorisation","Zone group rules","Regeln für die Zonengruppe","Regole del gruppo di zone","Reglas del grupo de zonas","Bölge grubu kuralları"
"Finally, choose if it is possible or not for several zones to overlap","Enfin, choisissez si vous souhaitez autoriser le chevauchement des zones","Finally, choose if it is possible or not for several zones to overlap","Wählen Sie schließlich, ob sich mehrere Zonen überschneiden können oder nicht","Infine, scegliere se è possibile o meno che diverse zone si sovrappongano.","Por último, elija si es posible o no que varias zonas se solapen","Son olarak, birkaç bölgenin çakışmasının mümkün olup olmadığını seçin"
"Exclusive zones","Zones exclusives","Exclusive zones","Exklusive Zonen","Zone esclusive","Zonas exclusivas","Özel bölgeler"
"Non exclusive zones","Zones non exclusives","Non exclusive zones","Nicht exklusive Zonen","Zone non esclusive","Zonas no exclusivas","Özel olmayan bölgeler"
"from scratch","à partir d'une carte vierge","from scratch","von Grund auf","da zero","desde cero","oluşturun"
"Duplicate","Dupliquer","Duplicate","Duplizieren","Duplicare","Duplicar","Var olandan"
"from existing","une sectorisation existante","from existing","aus bestehenden","da una esistente","desde existente","çoğaltın"
"Import","Importer","Import","importieren","Importare","Importar","csv'den"
"from csv","depuis un fichier excel","from csv","aus csv","da csv","desde csv","içe aktarın"
"First of all, choose the name of the new zone group","Commencez par définir le nom de votre sectorisation","First of all, choose the name of the new zone group","Wählen Sie zunächst den Namen der neuen Zonengruppe","Prima di tutto, scegliere il nome del nuovo gruppo di zone","En primer lugar, elija el nombre del nuevo grupo de zonas","Öncelikle, yeni bölge grubunun adını seçin"
"Next","Suivant","Next","Weiter","Poi","Siguiente","Sonraki"
"Then, define how zones will be composed","Ensuite, choisissez de quoi sont constituées vos zones","Then, define how zones will be composed","Legen Sie dann fest, wie die Zonen zusammengesetzt werden sollen","Quindi, definire come saranno composte le zone","A continuación, defina cómo se compondrán las zonas","Ardından, bölgelerin nasıl oluşturulacağını tanımlayın"
"My zones will be composed by","Mes zones seront composées de","My zones will be composed by","Meine Zonen werden wie folgt zusammengesetzt sein","Le mie zone saranno composte da","Mis zonas estarán compuestas por","Bölgelerim"
"Previous","Précédent","Previous","Vorherige","Precedente","Anterior","tarafından oluşturulacak Önceki"
"First of all, choose which zone group you want to duplicate","Commencez par choisir la sectorisation que vous voulez dupliquer","First of all, choose which zone group you want to duplicate","Wählen Sie zunächst aus, welche Zonen Sie duplizieren möchten","Prima di tutto, scegliere la zonizzazione che si vuole duplicare","En primer lugar, elija la zonificación que desea duplicar","Öncelikle, hangi bölgeyi çoğaltmak istediğinizi seçin"
"Zones import","Import des zones","Zones import","Zonen importieren","Importazione delle zone","Importar zonas","Bölgeleri içe aktarma"
"Download excel template","Télécharger le template excel","Download excel template","Excel-Vorlage herunterladen","Scaricare il modello excel","Descargar plantilla excel","Excel şablonunu"
"and fill it to define zones.","et remplissez le afin de definir vos zones.","and fill it to define zones.","und füllen Sie sie aus","e compilarlo per definire le zone.","y rellénela para definir las zonas.","ve bölgeleri tanımlamak için doldurun."
"Zones","Zones","Zones","Zonen","Zone","Zonas","Bölgeler"
"Please upload filled template","Déposez ici le template complété","Please upload filled template","Bitte laden Sie die ausgefüllte Vorlage hoch","Caricare il modello compilato","Por favor","Lütfen doldurulmuş şablonu yükleyin"
"Import failed","Echec de l'import","Import failed","Import fehlgeschlagen","Importazione non riuscita","Importación fallida","İçe aktarma başarısız"
"Import successfull","Import réalisé avec succès","Import successfull","Import erfolgreich","Importazione riuscita","Importación correcta","İçe aktarma başarılı"
"detected","détectées","detected","entdeckt","rilevato","detectado","algılandı"
"Zone group to duplicate","Sectorisation à dupliquer","Zone group to duplicate","Zonengruppe zu duplizieren","Gruppo di zone da duplicare","Grupo de zonas a duplicar","Çoğaltılacak bölge grubu"
"Field","Parcelle","Field","Parzelle","Parcella","Paquete","Alan"
"Rotations","Rotations","Rotations","Rotationen","Rotazioni","Rotaciones","Rotasyonlar"
"Characteristics","Caractéristiques","Characteristics","Merkmale","Caratteristiche","Características","Özellikler"
"Characteristic","Caractéristique","Characteristic","Merkmale","Caratteristiche","Característica","Özellik"
"Parcel characteristic edition","Modification des caractéristiques parcelles","Field characteristic edition","Ausgabe des Merkmals Parzelle","Edizione delle caratteristiche del pacco","Edición de características de la parcela","Alan özelliği sürümü"
"No data found","Aucune donnée n'a été trouvée","No data found","Keine Daten gefunden","Nessun dato trovato","No se han encontrado datos","Veri bulunamadı"
"Configure","Configurer","Configure","Konfigurieren Sie","Configurare","Configurar","Yapılandır"
"Administrative","Administratif","Administrative","Administrativ","Amministrativo","Administrativo","İdari"
"Custom","Personnalisée","Custom","Benutzerdefiniert","Personalizzato","Personalizar","Özel"
"Display farms","Afficher les exploitations","Display farms","Betriebe anzeigen","Visualizza le aziende agricole","Visualizar explotaciones","Çiftlikleri görüntüle"
"Country","Pays","Country","Land","Paese","País","Ülke"
"Rapeseed","Colza","WOSR","Raps","Colza","Colza","WOSR"
"Sunflower","Tournesol","Sunflower","Sonnenblume","Girasole","Girasol","Ayçiçeği"
"Winter wheat","Blé d'hiver","Winter wheat","Winterweizen","Grano invernale","Trigo de invierno","Kışlık buğday"
"Other cereals","Autres céréales","Other cereals","Andere Getreidearten","Altri cereali","Otros cereales","Diğer tahıllar"
"Other vegetables","Autres légumes","Other vegetables","Sonstiges Gemüse","Altre verdure","Otras hortalizas","Diğer sebzeler"
"Beet","Betterave","Beet","Rübe","Barbabietola","Remolacha","Pancar"
"Hemp","Chanvre","Hemp","Hanf","Canapa","Cáñamo","Kenevir"
"Beans","Haricots","Beans","Bohnen","Fagioli","Judías","Fasulye"
"Linen","Lin","Linen","Leinen","Lino","Lino","Keten"
"Alfalfa","Luzerne","Alfalfa","Alfalfa","Alfalfa","Alfalfa","Yonca"
"Maize","Maïs","Maize","Mais","Mais","Maíz","Mısır"
"Meadows / trees / other","Prairies / arbres / autres","Meadows / trees / other","Wiesen / Bäume / Sonstiges","Prati / alberi / altro","Prados / árboles / otros","Çayırlar / ağaçlar / diğer"
"Peas","Pois","Peas","Erbsen","Piselli","Guisantes","Bezelye"
"Potato","Pomme de terre","Potato","Kartoffel","Patata","Patata","Patates"
"Rice","Riz","Rice","Reis","Riso","Arroz","Pirinç"
"Soy","Soja","Soy","Soja","Soia","Soja","Soya"
"Spring barley","Orge de printemps","Spring barley","Sommergerste","Orzo primaverile","Cebada de primavera","Bahar arpası"
"Spring wheat","Blé de printemps","Spring wheat","Sommerweizen","Grano primaverile","Trigo de primavera","Bahar buğdayı"
"Triticale","Triticale","Triticale","Triticale","Triticale","Triticale","Tritikale"
"Vineyards","Vignes","Vineyards","Weinberge","Vigneti","Viñedos","Üzüm bağları"
"Winter barley","Orge d'hiver","Winter barley","Wintergerste","Orzo invernale","Cebada de invierno","Kışlık arpası"
"Value calculated on the basis of crop rotation logic","Valeur calculée sur la base de logique de rotations de cultures","Value calculated on the basis of crop rotation logic","Auf der Grundlage von Fruchtfolgelogik berechneter Wert.","Valore calcolato in base alla logica della rotazione delle colture","Valor calculado en base a la lógica de rotación de cultivos","Ürün rotasyonu mantığına göre hesaplanan değer"
"Phenological stages","Stades phénologiques","Phenological stages","Phänologische Stadien","Fasi fenologiche","Etapas fenológicas","Fenolojik aşamalar"
"Crop confidence score","Indice de confiance (culture)","Crop confidence score","Konfidenzniveau der Kulturpflanzen","Punteggio di fiducia della coltura","Puntuación de confianza del cultivo","Ürün güven puanı"
"Municipalities","Communes","Municipalities","Gemeinden","Comuni","Municipios","Köy"
"Departments","Départements","Departments","Abteilungen","Dipartimenti","Provincias","İlçe"
"Welcome to Hyperplan!","Bienvenue sur Hyperplan !","Welcome to Hyperplan!","Willkommen bei Hyperplan !","Benvenuti a Hyperplan !","¡Bienvenido a Hyperplan!","Hyperplan'a hoş geldiniz!"
"Account creation","Création de compte","Account creation","Konto erstellen","Creazione dell'account","Creación de cuenta","Hesap oluşturma"
"Company function","Fonction dans l'entreprise","Company function","Funktion in der Firma","Posizione in azienda","Posición en la empresa","Şirket işlevi"
"Create account","Créer le compte","Create account","Konto erstellen","Creare un account","Crear cuenta","Hesap oluştur"
"Market share volume","Part de marché volume","Farm market share","Marktanteil des Betriebs","Quota di mercato dell'azienda agricola","Cuota de mercado de la explotación","Çiftlik pazar payı"
"Tag","Etiquette","Tag","Tag","Tag","Etiquetas","Etiket"
"Parcel farm","Exploitation rattachée à la ferme","Parcel farm","Parzellenbetrieb","Fattoria parcellare","Explotación parcelaria","Parsel çiftliği"
"Closest silo","Silo le plus proche","Closest silo","Nächstes Silo","Silo più vicino","Silo más cercano","En yakın silo"
"Farms with no field sales","Exploitations non rattachées à un TC","Farms with no field sales","Bauernhöfe ohne Feldverkäufe","Aziende agricole senza vendite in campo","Explotaciones sin ventas en el campo","Tarla satışı olmayan çiftlikler"
"Are you sure you want to disconnect ?","Êtes-vous sûr de vouloir vous déconnecter ?","Are you sure you want to disconnect ?","Sind Sie sicher, dass Sie die Verbindung trennen wollen?","È sicuro di volersi scollegare?","¿Seguro que quieres desconectarte?","Bağlantıyı kesmek istediğinizden emin misiniz?"
"Confirm","Confirmer","Confirm","Bestätigen","Confermare","Confirmar","Onaylayın"
"W","S","W","W","S","S","W"
"Vegetation index retrieved by satellite. Updated on a weekly basis.","Indice de végétation obtenu par satellite. Mise à jour hebdomadaire.","Vegetation index retrieved by satellite. Updated on a weekly basis.","Per Satellit ermittelter Vegetationsindex. Wöchentliche Aktualisierung.","Indice di vegetazione recuperato dal satellite. Aggiornato su base settimanale.","Índice de vegetación obtenido por satélite. Actualización semanal.","Uydu tarafından alınan bitki örtüsü endeksi. Haftalık olarak güncellenir."
"Predicted or satellite detected crop for ongoing and next campaign. Updated on a bi-monthly basis. For past campaigns, our predictions are corrected with public data.","Culture prévue ou détectée par satellite pour la campagne en cours et la prochaine campagne. Mise à jour bimensuelle. Pour les campagnes précédentes, nos prévisions sont corrigées à l'aide de données publiques.","Predicted or satellite detected crop for ongoing and next campaign. Updated on a bi-monthly basis. For past campaigns, our predictions are corrected with public data.","Vorausgesagte oder per Satellit erfasste Ernte für die laufende und die nächste Kampagne. Zweimonatliche Aktualisierung. Für vergangene Kampagnen werden unsere Vorhersagen mit öffentlichen Daten korrigiert.","Raccolta prevista o rilevata dal satellite per la campagna in corso e per quella successiva. Aggiornamento bimestrale. Per le campagne passate, le nostre previsioni sono corrette con i dati pubblici.","Cosecha prevista o detectada por satélite para la campaña en curso y la siguiente. Actualización bimensual. Para campañas pasadas, nuestras predicciones se corrigen con datos públicos.","Devam eden ve bir sonraki kampanya için tahmin edilen veya uydu tarafından tespit edilen ürün. İki ayda bir güncellenir. Geçmiş kampanyalar için tahminlerimiz kamuya açık verilerle düzeltilir."
